n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1645,scissors,rock,1,882,368,395,0.54,0.22,0.24,487,0.3
1646,scissors,rock,1,883,368,395,0.54,0.22,0.24,488,0.3
1647,scissors,paper,-1,883,368,396,0.54,0.22,0.24,487,0.3
1648,rock,paper,1,884,368,396,0.54,0.22,0.24,488,0.3
1649,scissors,paper,-1,884,368,397,0.54,0.22,0.24,487,0.3
1650,scissors,rock,1,885,368,397,0.54,0.22,0.24,488,0.3
1651,rock,rock,0,885,369,397,0.54,0.22,0.24,488,0.3
1652,scissors,rock,1,886,369,397,0.54,0.22,0.24,489,0.3
1653,rock,paper,1,887,369,397,0.54,0.22,0.24,490,0.3
1654,rock,paper,1,888,369,397,0.54,0.22,0.24,491,0.3
1655,rock,rock,0,888,370,397,0.54,0.22,0.24,491,0.3
1656,scissors,rock,1,889,370,397,0.54,0.22,0.24,492,0.3
1657,rock,rock,0,889,371,397,0.54,0.22,0.24,492,0.3
1658,scissors,rock,1,890,371,397,0.54,0.22,0.24,493,0.3
1659,scissors,rock,1,891,371,397,0.54,0.22,0.24,494,0.3
1660,scissors,rock,1,892,371,397,0.54,0.22,0.24,495,0.3
1661,scissors,rock,1,893,371,397,0.54,0.22,0.24,496,0.3
1662,scissors,paper,-1,893,371,398,0.54,0.22,0.24,495,0.3
1663,scissors,rock,1,894,371,398,0.54,0.22,0.24,496,0.3
1664,rock,paper,1,895,371,398,0.54,0.22,0.24,497,0.3
1665,scissors,rock,1,896,371,398,0.54,0.22,0.24,498,0.3
1666,scissors,rock,1,897,371,398,0.54,0.22,0.24,499,0.3
1667,rock,paper,1,898,371,398,0.54,0.22,0.24,500,0.3
1668,scissors,rock,1,899,371,398,0.54,0.22,0.24,501,0.3
1669,scissors,rock,1,900,371,398,0.54,0.22,0.24,502,0.3
1670,scissors,paper,-1,900,371,399,0.54,0.22,0.24,501,0.3
1671,scissors,rock,1,901,371,399,0.54,0.22,0.24,502,0.3
1672,scissors,paper,-1,901,371,400,0.54,0.22,0.24,501,0.3
1673,scissors,rock,1,902,371,400,0.54,0.22,0.24,502,0.3
1674,scissors,paper,-1,902,371,401,0.54,0.22,0.24,501,0.3
1675,scissors,rock,1,903,371,401,0.54,0.22,0.24,502,0.3
1676,scissors,rock,1,904,371,401,0.54,0.22,0.24,503,0.3
1677,scissors,rock,1,905,371,401,0.54,0.22,0.24,504,0.3
1678,scissors,paper,-1,905,371,402,0.54,0.22,0.24,503,0.3
1679,rock,paper,1,906,371,402,0.54,0.22,0.24,504,0.3
1680,scissors,paper,-1,906,371,403,0.54,0.22,0.24,503,0.3
1681,scissors,paper,-1,906,371,404,0.54,0.22,0.24,502,0.3
1682,scissors,rock,1,907,371,404,0.54,0.22,0.24,503,0.3
1683,scissors,rock,1,908,371,404,0.54,0.22,0.24,504,0.3
1684,scissors,rock,1,909,371,404,0.54,0.22,0.24,505,0.3
1685,scissors,paper,-1,909,371,405,0.54,0.22,0.24,504,0.3
1686,rock,rock,0,909,372,405,0.54,0.22,0.24,504,0.3
1687,scissors,paper,-1,909,372,406,0.54,0.22,0.24,503,0.3
1688,rock,rock,0,909,373,406,0.54,0.22,0.24,503,0.3
1689,scissors,paper,-1,909,373,407,0.54,0.22,0.24,502,0.3
1690,rock,rock,0,909,374,407,0.54,0.22,0.24,502,0.3
1691,scissors,rock,1,910,374,407,0.54,0.22,0.24,503,0.3
1692,scissors,paper,-1,910,374,408,0.54,0.22,0.24,502,0.3
1693,scissors,paper,-1,910,374,409,0.54,0.22,0.24,501,0.3
1694,scissors,rock,1,911,374,409,0.54,0.22,0.24,502,0.3
1695,rock,paper,1,912,374,409,0.54,0.22,0.24,503,0.3
1696,rock,paper,1,913,374,409,0.54,0.22,0.24,504,0.3
1697,rock,paper,1,914,374,409,0.54,0.22,0.24,505,0.3
1698,scissors,rock,1,915,374,409,0.54,0.22,0.24,506,0.3
1699,scissors,rock,1,916,374,409,0.54,0.22,0.24,507,0.3
1700,rock,rock,0,916,375,409,0.54,0.22,0.24,507,0.3
1701,scissors,paper,-1,916,375,410,0.54,0.22,0.24,506,0.3
1702,rock,rock,0,916,376,410,0.54,0.22,0.24,506,0.3
1703,scissors,rock,1,917,376,410,0.54,0.22,0.24,507,0.3
1704,scissors,rock,1,918,376,410,0.54,0.22,0.24,508,0.3
1705,scissors,paper,-1,918,376,411,0.54,0.22,0.24,507,0.3
1706,rock,rock,0,918,377,411,0.54,0.22,0.24,507,0.3
1707,scissors,rock,1,919,377,411,0.54,0.22,0.24,508,0.3
1708,rock,paper,1,920,377,411,0.54,0.22,0.24,509,0.3
1709,scissors,paper,-1,920,377,412,0.54,0.22,0.24,508,0.3
1710,scissors,paper,-1,920,377,413,0.54,0.22,0.24,507,0.3
1711,scissors,paper,-1,920,377,414,0.54,0.22,0.24,506,0.3
1712,scissors,rock,1,921,377,414,0.54,0.22,0.24,507,0.3
1713,scissors,rock,1,922,377,414,0.54,0.22,0.24,508,0.3
1714,scissors,rock,1,923,377,414,0.54,0.22,0.24,509,0.3
1715,scissors,paper,-1,923,377,415,0.54,0.22,0.24,508,0.3
1716,rock,rock,0,923,378,415,0.54,0.22,0.24,508,0.3
1717,scissors,rock,1,924,378,415,0.54,0.22,0.24,509,0.3
1718,scissors,rock,1,925,378,415,0.54,0.22,0.24,510,0.3
1719,scissors,rock,1,926,378,415,0.54,0.22,0.24,511,0.3
1720,rock,paper,1,927,378,415,0.54,0.22,0.24,512,0.3
1721,scissors,paper,-1,927,378,416,0.54,0.22,0.24,511,0.3
1722,scissors,paper,-1,927,378,417,0.54,0.22,0.24,510,0.3
1723,scissors,paper,-1,927,378,418,0.54,0.22,0.24,509,0.3
1724,scissors,rock,1,928,378,418,0.54,0.22,0.24,510,0.3
1725,scissors,rock,1,929,378,418,0.54,0.22,0.24,511,0.3
1726,scissors,paper,-1,929,378,419,0.54,0.22,0.24,510,0.3
1727,scissors,rock,1,930,378,419,0.54,0.22,0.24,511,0.3
1728,rock,rock,0,930,379,419,0.54,0.22,0.24,511,0.3
1729,scissors,paper,-1,930,379,420,0.54,0.22,0.24,510,0.29
1730,rock,rock,0,930,380,420,0.54,0.22,0.24,510,0.29
1731,scissors,paper,-1,930,380,421,0.54,0.22,0.24,509,0.29
1732,scissors,rock,1,931,380,421,0.54,0.22,0.24,510,0.29
1733,scissors,rock,1,932,380,421,0.54,0.22,0.24,511,0.29
1734,scissors,rock,1,933,380,421,0.54,0.22,0.24,512,0.3
1735,scissors,rock,1,934,380,421,0.54,0.22,0.24,513,0.3
1736,scissors,rock,1,935,380,421,0.54,0.22,0.24,514,0.3
1737,rock,rock,0,935,381,421,0.54,0.22,0.24,514,0.3
1738,rock,rock,0,935,382,421,0.54,0.22,0.24,514,0.3
1739,rock,rock,0,935,383,421,0.54,0.22,0.24,514,0.3
1740,scissors,paper,-1,935,383,422,0.54,0.22,0.24,513,0.29
1741,scissors,paper,-1,935,383,423,0.54,0.22,0.24,512,0.29
1742,scissors,rock,1,936,383,423,0.54,0.22,0.24,513,0.29
1743,scissors,rock,1,937,383,423,0.54,0.22,0.24,514,0.29
1744,rock,paper,1,938,383,423,0.54,0.22,0.24,515,0.3
1745,scissors,rock,1,939,383,423,0.54,0.22,0.24,516,0.3
1746,scissors,rock,1,940,383,423,0.54,0.22,0.24,517,0.3
1747,scissors,rock,1,941,383,423,0.54,0.22,0.24,518,0.3
1748,scissors,rock,1,942,383,423,0.54,0.22,0.24,519,0.3
1749,scissors,paper,-1,942,383,424,0.54,0.22,0.24,518,0.3
1750,rock,paper,1,943,383,424,0.54,0.22,0.24,519,0.3
1751,scissors,paper,-1,943,383,425,0.54,0.22,0.24,518,0.3
1752,scissors,rock,1,944,383,425,0.54,0.22,0.24,519,0.3
1753,scissors,rock,1,945,383,425,0.54,0.22,0.24,520,0.3
1754,rock,paper,1,946,383,425,0.54,0.22,0.24,521,0.3
1755,scissors,rock,1,947,383,425,0.54,0.22,0.24,522,0.3
1756,scissors,rock,1,948,383,425,0.54,0.22,0.24,523,0.3
1757,scissors,rock,1,949,383,425,0.54,0.22,0.24,524,0.3
1758,scissors,paper,-1,949,383,426,0.54,0.22,0.24,523,0.3
1759,scissors,rock,1,950,383,426,0.54,0.22,0.24,524,0.3
1760,scissors,rock,1,951,383,426,0.54,0.22,0.24,525,0.3
1761,scissors,paper,-1,951,383,427,0.54,0.22,0.24,524,0.3
1762,rock,rock,0,951,384,427,0.54,0.22,0.24,524,0.3
1763,scissors,rock,1,952,384,427,0.54,0.22,0.24,525,0.3
1764,scissors,rock,1,953,384,427,0.54,0.22,0.24,526,0.3
1765,scissors,rock,1,954,384,427,0.54,0.22,0.24,527,0.3
1766,rock,rock,0,954,385,427,0.54,0.22,0.24,527,0.3
1767,rock,rock,0,954,386,427,0.54,0.22,0.24,527,0.3
1768,scissors,paper,-1,954,386,428,0.54,0.22,0.24,526,0.3
1769,rock,rock,0,954,387,428,0.54,0.22,0.24,526,0.3
1770,scissors,paper,-1,954,387,429,0.54,0.22,0.24,525,0.3
1771,scissors,rock,1,955,387,429,0.54,0.22,0.24,526,0.3
1772,scissors,rock,1,956,387,429,0.54,0.22,0.24,527,0.3
1773,scissors,rock,1,957,387,429,0.54,0.22,0.24,528,0.3
1774,scissors,rock,1,958,387,429,0.54,0.22,0.24,529,0.3
1775,scissors,rock,1,959,387,429,0.54,0.22,0.24,530,0.3
1776,scissors,paper,-1,959,387,430,0.54,0.22,0.24,529,0.3
1777,rock,rock,0,959,388,430,0.54,0.22,0.24,529,0.3
1778,rock,rock,0,959,389,430,0.54,0.22,0.24,529,0.3
1779,scissors,rock,1,960,389,430,0.54,0.22,0.24,530,0.3
1780,scissors,rock,1,961,389,430,0.54,0.22,0.24,531,0.3
1781,scissors,rock,1,962,389,430,0.54,0.22,0.24,532,0.3
1782,scissors,rock,1,963,389,430,0.54,0.22,0.24,533,0.3
1783,scissors,rock,1,964,389,430,0.54,0.22,0.24,534,0.3
1784,rock,rock,0,964,390,430,0.54,0.22,0.24,534,0.3
1785,scissors,rock,1,965,390,430,0.54,0.22,0.24,535,0.3
1786,rock,rock,0,965,391,430,0.54,0.22,0.24,535,0.3
1787,scissors,rock,1,966,391,430,0.54,0.22,0.24,536,0.3
1788,scissors,paper,-1,966,391,431,0.54,0.22,0.24,535,0.3
1789,scissors,rock,1,967,391,431,0.54,0.22,0.24,536,0.3
1790,scissors,rock,1,968,391,431,0.54,0.22,0.24,537,0.3
1791,scissors,paper,-1,968,391,432,0.54,0.22,0.24,536,0.3
1792,scissors,rock,1,969,391,432,0.54,0.22,0.24,537,0.3
1793,scissors,paper,-1,969,391,433,0.54,0.22,0.24,536,0.3
1794,rock,rock,0,969,392,433,0.54,0.22,0.24,536,0.3
1795,rock,rock,0,969,393,433,0.54,0.22,0.24,536,0.3
1796,scissors,rock,1,970,393,433,0.54,0.22,0.24,537,0.3
1797,scissors,rock,1,971,393,433,0.54,0.22,0.24,538,0.3
1798,scissors,paper,-1,971,393,434,0.54,0.22,0.24,537,0.3
1799,scissors,rock,1,972,393,434,0.54,0.22,0.24,538,0.3
1800,scissors,paper,-1,972,393,435,0.54,0.22,0.24,537,0.3
1801,scissors,rock,1,973,393,435,0.54,0.22,0.24,538,0.3
1802,scissors,rock,1,974,393,435,0.54,0.22,0.24,539,0.3
1803,rock,rock,0,974,394,435,0.54,0.22,0.24,539,0.3
1804,scissors,rock,1,975,394,435,0.54,0.22,0.24,540,0.3
1805,scissors,rock,1,976,394,435,0.54,0.22,0.24,541,0.3
1806,rock,paper,1,977,394,435,0.54,0.22,0.24,542,0.3
1807,scissors,rock,1,978,394,435,0.54,0.22,0.24,543,0.3
1808,scissors,rock,1,979,394,435,0.54,0.22,0.24,544,0.3
1809,rock,rock,0,979,395,435,0.54,0.22,0.24,544,0.3
1810,rock,paper,1,980,395,435,0.54,0.22,0.24,545,0.3
1811,scissors,paper,-1,980,395,436,0.54,0.22,0.24,544,0.3
1812,scissors,rock,1,981,395,436,0.54,0.22,0.24,545,0.3
1813,scissors,rock,1,982,395,436,0.54,0.22,0.24,546,0.3
1814,scissors,rock,1,983,395,436,0.54,0.22,0.24,547,0.3
1815,scissors,rock,1,984,395,436,0.54,0.22,0.24,548,0.3
1816,rock,rock,0,984,396,436,0.54,0.22,0.24,548,0.3
1817,rock,paper,1,985,396,436,0.54,0.22,0.24,549,0.3
1818,rock,paper,1,986,396,436,0.54,0.22,0.24,550,0.3
1819,scissors,rock,1,987,396,436,0.54,0.22,0.24,551,0.3
1820,scissors,paper,-1,987,396,437,0.54,0.22,0.24,550,0.3
1821,scissors,paper,-1,987,396,438,0.54,0.22,0.24,549,0.3
1822,scissors,paper,-1,987,396,439,0.54,0.22,0.24,548,0.3
1823,scissors,paper,-1,987,396,440,0.54,0.22,0.24,547,0.3
1824,rock,paper,1,988,396,440,0.54,0.22,0.24,548,0.3
1825,rock,rock,0,988,397,440,0.54,0.22,0.24,548,0.3
1826,scissors,rock,1,989,397,440,0.54,0.22,0.24,549,0.3
1827,scissors,rock,1,990,397,440,0.54,0.22,0.24,550,0.3
1828,scissors,rock,1,991,397,440,0.54,0.22,0.24,551,0.3
1829,rock,rock,0,991,398,440,0.54,0.22,0.24,551,0.3
1830,scissors,rock,1,992,398,440,0.54,0.22,0.24,552,0.3
1831,scissors,rock,1,993,398,440,0.54,0.22,0.24,553,0.3
1832,scissors,rock,1,994,398,440,0.54,0.22,0.24,554,0.3
1833,rock,paper,1,995,398,440,0.54,0.22,0.24,555,0.3
1834,scissors,paper,-1,995,398,441,0.54,0.22,0.24,554,0.3
1835,scissors,rock,1,996,398,441,0.54,0.22,0.24,555,0.3
1836,scissors,rock,1,997,398,441,0.54,0.22,0.24,556,0.3
1837,scissors,rock,1,998,398,441,0.54,0.22,0.24,557,0.3
1838,scissors,paper,-1,998,398,442,0.54,0.22,0.24,556,0.3
1839,scissors,rock,1,999,398,442,0.54,0.22,0.24,557,0.3
1840,scissors,rock,1,1000,398,442,0.54,0.22,0.24,558,0.3
1841,rock,rock,0,1000,399,442,0.54,0.22,0.24,558,0.3
1842,scissors,rock,1,1001,399,442,0.54,0.22,0.24,559,0.3
1843,scissors,rock,1,1002,399,442,0.54,0.22,0.24,560,0.3
1844,rock,rock,0,1002,400,442,0.54,0.22,0.24,560,0.3
1845,scissors,paper,-1,1002,400,443,0.54,0.22,0.24,559,0.3
1846,scissors,rock,1,1003,400,443,0.54,0.22,0.24,560,0.3
1847,scissors,paper,-1,1003,400,444,0.54,0.22,0.24,559,0.3
1848,scissors,rock,1,1004,400,444,0.54,0.22,0.24,560,0.3
1849,scissors,paper,-1,1004,400,445,0.54,0.22,0.24,559,0.3
1850,scissors,rock,1,1005,400,445,0.54,0.22,0.24,560,0.3
1851,rock,rock,0,1005,401,445,0.54,0.22,0.24,560,0.3
1852,scissors,paper,-1,1005,401,446,0.54,0.22,0.24,559,0.3
1853,rock,rock,0,1005,402,446,0.54,0.22,0.24,559,0.3
1854,scissors,paper,-1,1005,402,447,0.54,0.22,0.24,558,0.3
1855,scissors,paper,-1,1005,402,448,0.54,0.22,0.24,557,0.3
1856,rock,rock,0,1005,403,448,0.54,0.22,0.24,557,0.3
1857,scissors,rock,1,1006,403,448,0.54,0.22,0.24,558,0.3
1858,rock,rock,0,1006,404,448,0.54,0.22,0.24,558,0.3
1859,rock,rock,0,1006,405,448,0.54,0.22,0.24,558,0.3
1860,scissors,rock,1,1007,405,448,0.54,0.22,0.24,559,0.3
1861,scissors,paper,-1,1007,405,449,0.54,0.22,0.24,558,0.3
1862,rock,rock,0,1007,406,449,0.54,0.22,0.24,558,0.3
1863,scissors,rock,1,1008,406,449,0.54,0.22,0.24,559,0.3
1864,scissors,rock,1,1009,406,449,0.54,0.22,0.24,560,0.3
1865,scissors,rock,1,1010,406,449,0.54,0.22,0.24,561,0.3
1866,scissors,rock,1,1011,406,449,0.54,0.22,0.24,562,0.3
1867,scissors,rock,1,1012,406,449,0.54,0.22,0.24,563,0.3
1868,rock,paper,1,1013,406,449,0.54,0.22,0.24,564,0.3
1869,scissors,rock,1,1014,406,449,0.54,0.22,0.24,565,0.3
1870,scissors,paper,-1,1014,406,450,0.54,0.22,0.24,564,0.3
1871,rock,paper,1,1015,406,450,0.54,0.22,0.24,565,0.3
1872,scissors,rock,1,1016,406,450,0.54,0.22,0.24,566,0.3
1873,rock,paper,1,1017,406,450,0.54,0.22,0.24,567,0.3
1874,scissors,paper,-1,1017,406,451,0.54,0.22,0.24,566,0.3
1875,scissors,rock,1,1018,406,451,0.54,0.22,0.24,567,0.3
1876,scissors,paper,-1,1018,406,452,0.54,0.22,0.24,566,0.3
1877,scissors,rock,1,1019,406,452,0.54,0.22,0.24,567,0.3
1878,scissors,rock,1,1020,406,452,0.54,0.22,0.24,568,0.3
1879,scissors,paper,-1,1020,406,453,0.54,0.22,0.24,567,0.3
1880,scissors,rock,1,1021,406,453,0.54,0.22,0.24,568,0.3
1881,scissors,paper,-1,1021,406,454,0.54,0.22,0.24,567,0.3
1882,scissors,paper,-1,1021,406,455,0.54,0.22,0.24,566,0.3
1883,rock,paper,1,1022,406,455,0.54,0.22,0.24,567,0.3
1884,scissors,rock,1,1023,406,455,0.54,0.22,0.24,568,0.3
1885,scissors,rock,1,1024,406,455,0.54,0.22,0.24,569,0.3
1886,scissors,rock,1,1025,406,455,0.54,0.22,0.24,570,0.3
1887,scissors,paper,-1,1025,406,456,0.54,0.22,0.24,569,0.3
1888,scissors,rock,1,1026,406,456,0.54,0.22,0.24,570,0.3
1889,rock,rock,0,1026,407,456,0.54,0.22,0.24,570,0.3
1890,scissors,paper,-1,1026,407,457,0.54,0.22,0.24,569,0.3
1891,scissors,rock,1,1027,407,457,0.54,0.22,0.24,570,0.3
1892,scissors,rock,1,1028,407,457,0.54,0.22,0.24,571,0.3
1893,scissors,rock,1,1029,407,457,0.54,0.22,0.24,572,0.3
1894,scissors,paper,-1,1029,407,458,0.54,0.21,0.24,571,0.3
1895,scissors,paper,-1,1029,407,459,0.54,0.21,0.24,570,0.3
1896,rock,paper,1,1030,407,459,0.54,0.21,0.24,571,0.3
1897,rock,paper,1,1031,407,459,0.54,0.21,0.24,572,0.3
1898,scissors,rock,1,1032,407,459,0.54,0.21,0.24,573,0.3
1899,scissors,rock,1,1033,407,459,0.54,0.21,0.24,574,0.3
1900,scissors,paper,-1,1033,407,460,0.54,0.21,0.24,573,0.3
1901,rock,paper,1,1034,407,460,0.54,0.21,0.24,574,0.3
1902,rock,paper,1,1035,407,460,0.54,0.21,0.24,575,0.3
1903,scissors,rock,1,1036,407,460,0.54,0.21,0.24,576,0.3
1904,rock,paper,1,1037,407,460,0.54,0.21,0.24,577,0.3
1905,rock,rock,0,1037,408,460,0.54,0.21,0.24,577,0.3
1906,scissors,rock,1,1038,408,460,0.54,0.21,0.24,578,0.3
1907,scissors,rock,1,1039,408,460,0.54,0.21,0.24,579,0.3
1908,scissors,paper,-1,1039,408,461,0.54,0.21,0.24,578,0.3
1909,rock,rock,0,1039,409,461,0.54,0.21,0.24,578,0.3
1910,scissors,rock,1,1040,409,461,0.54,0.21,0.24,579,0.3
1911,scissors,paper,-1,1040,409,462,0.54,0.21,0.24,578,0.3
1912,scissors,rock,1,1041,409,462,0.54,0.21,0.24,579,0.3
1913,scissors,paper,-1,1041,409,463,0.54,0.21,0.24,578,0.3
1914,rock,rock,0,1041,410,463,0.54,0.21,0.24,578,0.3
1915,rock,rock,0,1041,411,463,0.54,0.21,0.24,578,0.3
1916,rock,rock,0,1041,412,463,0.54,0.22,0.24,578,0.3
1917,scissors,rock,1,1042,412,463,0.54,0.21,0.24,579,0.3
1918,scissors,rock,1,1043,412,463,0.54,0.21,0.24,580,0.3
1919,scissors,rock,1,1044,412,463,0.54,0.21,0.24,581,0.3
1920,scissors,rock,1,1045,412,463,0.54,0.21,0.24,582,0.3
1921,scissors,rock,1,1046,412,463,0.54,0.21,0.24,583,0.3
1922,rock,rock,0,1046,413,463,0.54,0.21,0.24,583,0.3
1923,scissors,paper,-1,1046,413,464,0.54,0.21,0.24,582,0.3
1924,scissors,rock,1,1047,413,464,0.54,0.21,0.24,583,0.3
1925,scissors,rock,1,1048,413,464,0.54,0.21,0.24,584,0.3
1926,scissors,paper,-1,1048,413,465,0.54,0.21,0.24,583,0.3
1927,scissors,paper,-1,1048,413,466,0.54,0.21,0.24,582,0.3
1928,rock,paper,1,1049,413,466,0.54,0.21,0.24,583,0.3
1929,scissors,rock,1,1050,413,466,0.54,0.21,0.24,584,0.3
1930,scissors,rock,1,1051,413,466,0.54,0.21,0.24,585,0.3
1931,rock,rock,0,1051,414,466,0.54,0.21,0.24,585,0.3
1932,scissors,paper,-1,1051,414,467,0.54,0.21,0.24,584,0.3
1933,scissors,rock,1,1052,414,467,0.54,0.21,0.24,585,0.3
1934,rock,rock,0,1052,415,467,0.54,0.21,0.24,585,0.3
1935,rock,rock,0,1052,416,467,0.54,0.21,0.24,585,0.3
1936,scissors,paper,-1,1052,416,468,0.54,0.21,0.24,584,0.3
1937,scissors,rock,1,1053,416,468,0.54,0.21,0.24,585,0.3
1938,scissors,rock,1,1054,416,468,0.54,0.21,0.24,586,0.3
1939,scissors,paper,-1,1054,416,469,0.54,0.21,0.24,585,0.3
1940,scissors,rock,1,1055,416,469,0.54,0.21,0.24,586,0.3
1941,scissors,rock,1,1056,416,469,0.54,0.21,0.24,587,0.3
1942,scissors,rock,1,1057,416,469,0.54,0.21,0.24,588,0.3
1943,scissors,rock,1,1058,416,469,0.54,0.21,0.24,589,0.3
1944,scissors,paper,-1,1058,416,470,0.54,0.21,0.24,588,0.3
1945,scissors,rock,1,1059,416,470,0.54,0.21,0.24,589,0.3
1946,scissors,paper,-1,1059,416,471,0.54,0.21,0.24,588,0.3
1947,scissors,paper,-1,1059,416,472,0.54,0.21,0.24,587,0.3
1948,scissors,rock,1,1060,416,472,0.54,0.21,0.24,588,0.3
1949,scissors,rock,1,1061,416,472,0.54,0.21,0.24,589,0.3
1950,scissors,paper,-1,1061,416,473,0.54,0.21,0.24,588,0.3
1951,rock,rock,0,1061,417,473,0.54,0.21,0.24,588,0.3
1952,scissors,paper,-1,1061,417,474,0.54,0.21,0.24,587,0.3
1953,scissors,rock,1,1062,417,474,0.54,0.21,0.24,588,0.3
1954,scissors,rock,1,1063,417,474,0.54,0.21,0.24,589,0.3
1955,scissors,rock,1,1064,417,474,0.54,0.21,0.24,590,0.3
1956,scissors,rock,1,1065,417,474,0.54,0.21,0.24,591,0.3
1957,rock,rock,0,1065,418,474,0.54,0.21,0.24,591,0.3
1958,scissors,paper,-1,1065,418,475,0.54,0.21,0.24,590,0.3
1959,scissors,paper,-1,1065,418,476,0.54,0.21,0.24,589,0.3
1960,scissors,rock,1,1066,418,476,0.54,0.21,0.24,590,0.3
1961,scissors,rock,1,1067,418,476,0.54,0.21,0.24,591,0.3
1962,scissors,rock,1,1068,418,476,0.54,0.21,0.24,592,0.3
1963,scissors,rock,1,1069,418,476,0.54,0.21,0.24,593,0.3
1964,scissors,rock,1,1070,418,476,0.54,0.21,0.24,594,0.3
1965,scissors,rock,1,1071,418,476,0.55,0.21,0.24,595,0.3
1966,rock,paper,1,1072,418,476,0.55,0.21,0.24,596,0.3
1967,rock,rock,0,1072,419,476,0.54,0.21,0.24,596,0.3
1968,rock,rock,0,1072,420,476,0.54,0.21,0.24,596,0.3
1969,rock,paper,1,1073,420,476,0.54,0.21,0.24,597,0.3
1970,scissors,paper,-1,1073,420,477,0.54,0.21,0.24,596,0.3
1971,rock,rock,0,1073,421,477,0.54,0.21,0.24,596,0.3
1972,rock,rock,0,1073,422,477,0.54,0.21,0.24,596,0.3
1973,rock,paper,1,1074,422,477,0.54,0.21,0.24,597,0.3
1974,scissors,rock,1,1075,422,477,0.54,0.21,0.24,598,0.3
1975,scissors,paper,-1,1075,422,478,0.54,0.21,0.24,597,0.3
1976,rock,rock,0,1075,423,478,0.54,0.21,0.24,597,0.3
1977,scissors,rock,1,1076,423,478,0.54,0.21,0.24,598,0.3
1978,scissors,rock,1,1077,423,478,0.54,0.21,0.24,599,0.3
1979,scissors,rock,1,1078,423,478,0.54,0.21,0.24,600,0.3
1980,scissors,rock,1,1079,423,478,0.54,0.21,0.24,601,0.3
1981,scissors,rock,1,1080,423,478,0.55,0.21,0.24,602,0.3
1982,scissors,rock,1,1081,423,478,0.55,0.21,0.24,603,0.3
1983,scissors,rock,1,1082,423,478,0.55,0.21,0.24,604,0.3
1984,rock,rock,0,1082,424,478,0.55,0.21,0.24,604,0.3
1985,scissors,rock,1,1083,424,478,0.55,0.21,0.24,605,0.3
1986,scissors,rock,1,1084,424,478,0.55,0.21,0.24,606,0.31
1987,scissors,rock,1,1085,424,478,0.55,0.21,0.24,607,0.31
1988,rock,rock,0,1085,425,478,0.55,0.21,0.24,607,0.31
1989,scissors,rock,1,1086,425,478,0.55,0.21,0.24,608,0.31
1990,rock,rock,0,1086,426,478,0.55,0.21,0.24,608,0.31
1991,scissors,rock,1,1087,426,478,0.55,0.21,0.24,609,0.31
1992,rock,rock,0,1087,427,478,0.55,0.21,0.24,609,0.31
1993,scissors,rock,1,1088,427,478,0.55,0.21,0.24,610,0.31
1994,scissors,rock,1,1089,427,478,0.55,0.21,0.24,611,0.31
1995,scissors,paper,-1,1089,427,479,0.55,0.21,0.24,610,0.31
1996,scissors,rock,1,1090,427,479,0.55,0.21,0.24,611,0.31
1997,scissors,paper,-1,1090,427,480,0.55,0.21,0.24,610,0.31
1998,scissors,paper,-1,1090,427,481,0.55,0.21,0.24,609,0.3
1999,scissors,paper,-1,1090,427,482,0.55,0.21,0.24,608,0.3
2000,scissors,paper,-1,1090,427,483,0.55,0.21,0.24,607,0.3
